id,id1,Gender1,Age1,SibSp1,SurvRate1,NumPassengers1,id2,Gender2,Age2,SibSp2,SurvRate2,NumPassengers2
1,1,all,all,all,38,891,2,male,all,all,18,577
2,1,all,all,all,38,891,18,female,all,all,74,314
3,2,male,all,all,18,577,3,male,child,all,33,71
4,2,male,all,all,18,577,6,male,young,all,15,180
5,2,male,all,all,18,577,9,male,middle,all,22,129
6,2,male,all,all,18,577,12,male,old,all,18,54
7,2,male,all,all,18,577,15,male,older,all,10,19
8,2,male,all,all,18,577,18,female,all,all,74,314
9,3,male,child,all,33,71,4,male,child,hassibsp,34,43
10,3,male,child,all,33,71,5,male,child,nosibsp,32,28
11,3,male,child,all,33,71,6,male,young,all,15,180
12,3,male,child,all,33,71,9,male,middle,all,22,129
13,3,male,child,all,33,71,12,male,old,all,18,54
14,3,male,child,all,33,71,15,male,older,all,10,19
15,3,male,child,all,33,71,19,female,child,all,67,68
16,4,male,child,hassibsp,34,43,5,male,child,nosibsp,32,28
17,4,male,child,hassibsp,34,43,7,male,young,hassibsp,17,34
18,4,male,child,hassibsp,34,43,10,male,middle,hassibsp,17,34
19,4,male,child,hassibsp,34,43,13,male,old,hassibsp,46,13
20,4,male,child,hassibsp,34,43,16,male,older,hassibsp,0,2
21,4,male,child,hassibsp,34,43,20,female,child,hassibsp,57,35
22,5,male,child,nosibsp,32,28,8,male,young,nosibsp,15,146
23,5,male,child,nosibsp,32,28,11,male,middle,nosibsp,24,95
24,5,male,child,nosibsp,32,28,14,male,old,nosibsp,9,41
25,5,male,child,nosibsp,32,28,17,male,older,nosibsp,11,17
26,5,male,child,nosibsp,32,28,21,female,child,nosibsp,78,33
27,6,male,young,all,15,180,7,male,young,hassibsp,17,34
28,6,male,young,all,15,180,8,male,young,nosibsp,15,146
29,6,male,young,all,15,180,9,male,middle,all,22,129
30,6,male,young,all,15,180,12,male,old,all,18,54
31,6,male,young,all,15,180,15,male,older,all,10,19
32,6,male,young,all,15,180,22,female,young,all,75,90
33,7,male,young,hassibsp,17,34,8,male,young,nosibsp,15,146
34,7,male,young,hassibsp,17,34,10,male,middle,hassibsp,17,34
35,7,male,young,hassibsp,17,34,13,male,old,hassibsp,46,13
36,7,male,young,hassibsp,17,34,16,male,older,hassibsp,0,2
37,7,male,young,hassibsp,17,34,23,female,young,hassibsp,66,33
38,8,male,young,nosibsp,15,146,11,male,middle,nosibsp,24,95
39,8,male,young,nosibsp,15,146,14,male,old,nosibsp,9,41
40,8,male,young,nosibsp,15,146,17,male,older,nosibsp,11,17
41,8,male,young,nosibsp,15,146,24,female,young,nosibsp,80,57
42,9,male,middle,all,22,129,10,male,middle,hassibsp,17,34
43,9,male,middle,all,22,129,11,male,middle,nosibsp,24,95
44,9,male,middle,all,22,129,12,male,old,all,18,54
45,9,male,middle,all,22,129,15,male,older,all,10,19
46,9,male,middle,all,22,129,25,female,middle,all,78,73
47,10,male,middle,hassibsp,17,34,11,male,middle,nosibsp,24,95
48,10,male,middle,hassibsp,17,34,13,male,old,hassibsp,46,13
49,10,male,middle,hassibsp,17,34,16,male,older,hassibsp,0,2
50,10,male,middle,hassibsp,17,34,26,female,middle,hassibsp,79,34
51,11,male,middle,nosibsp,24,95,14,male,old,nosibsp,9,41
52,11,male,middle,nosibsp,24,95,17,male,older,nosibsp,11,17
53,11,male,middle,nosibsp,24,95,27,female,middle,nosibsp,76,39
54,12,male,old,all,18,54,13,male,old,hassibsp,46,13
55,12,male,old,all,18,54,14,male,old,nosibsp,9,41
56,12,male,old,all,18,54,15,male,older,all,10,19
57,12,male,old,all,18,54,28,female,old,all,85,27
58,13,male,old,hassibsp,46,13,14,male,old,nosibsp,9,41
59,13,male,old,hassibsp,46,13,16,male,older,hassibsp,0,2
60,13,male,old,hassibsp,46,13,29,female,old,hassibsp,85,14
61,14,male,old,nosibsp,9,41,17,male,older,nosibsp,11,17
62,14,male,old,nosibsp,9,41,30,female,old,nosibsp,84,13
63,15,male,older,all,10,19,16,male,older,hassibsp,0,2
64,15,male,older,all,10,19,17,male,older,nosibsp,11,17
65,15,male,older,all,10,19,31,female,older,all,100,3
66,16,male,older,hassibsp,0,2,17,male,older,nosibsp,11,17
67,16,male,older,hassibsp,0,2,32,female,older,hassibsp,100,1
68,17,male,older,nosibsp,11,17,33,female,older,nosibsp,100,2
69,18,female,all,all,74,314,19,female,child,all,67,68
70,18,female,all,all,74,314,22,female,young,all,75,90
71,18,female,all,all,74,314,25,female,middle,all,78,73
72,18,female,all,all,74,314,28,female,old,all,85,27
73,18,female,all,all,74,314,31,female,older,all,100,3
74,19,female,child,all,67,68,20,female,child,hassibsp,57,35
75,19,female,child,all,67,68,21,female,child,nosibsp,78,33
76,19,female,child,all,67,68,22,female,young,all,75,90
77,19,female,child,all,67,68,25,female,middle,all,78,73
78,19,female,child,all,67,68,28,female,old,all,85,27
79,19,female,child,all,67,68,31,female,older,all,100,3
80,20,female,child,hassibsp,57,35,21,female,child,nosibsp,78,33
81,20,female,child,hassibsp,57,35,23,female,young,hassibsp,66,33
82,20,female,child,hassibsp,57,35,26,female,middle,hassibsp,79,34
83,20,female,child,hassibsp,57,35,29,female,old,hassibsp,85,14
84,20,female,child,hassibsp,57,35,32,female,older,hassibsp,100,1
85,21,female,child,nosibsp,78,33,24,female,young,nosibsp,80,57
86,21,female,child,nosibsp,78,33,27,female,middle,nosibsp,76,39
87,21,female,child,nosibsp,78,33,30,female,old,nosibsp,84,13
88,21,female,child,nosibsp,78,33,33,female,older,nosibsp,100,2
89,22,female,young,all,75,90,23,female,young,hassibsp,66,33
90,22,female,young,all,75,90,24,female,young,nosibsp,80,57
91,22,female,young,all,75,90,25,female,middle,all,78,73
92,22,female,young,all,75,90,28,female,old,all,85,27
93,22,female,young,all,75,90,31,female,older,all,100,3
94,23,female,young,hassibsp,66,33,24,female,young,nosibsp,80,57
95,23,female,young,hassibsp,66,33,26,female,middle,hassibsp,79,34
96,23,female,young,hassibsp,66,33,29,female,old,hassibsp,85,14
97,23,female,young,hassibsp,66,33,32,female,older,hassibsp,100,1
98,24,female,young,nosibsp,80,57,27,female,middle,nosibsp,76,39
99,24,female,young,nosibsp,80,57,30,female,old,nosibsp,84,13
100,24,female,young,nosibsp,80,57,33,female,older,nosibsp,100,2
101,25,female,middle,all,78,73,26,female,middle,hassibsp,79,34
102,25,female,middle,all,78,73,27,female,middle,nosibsp,76,39
103,25,female,middle,all,78,73,28,female,old,all,85,27
104,25,female,middle,all,78,73,31,female,older,all,100,3
105,26,female,middle,hassibsp,79,34,27,female,middle,nosibsp,76,39
106,26,female,middle,hassibsp,79,34,29,female,old,hassibsp,85,14
107,26,female,middle,hassibsp,79,34,32,female,older,hassibsp,100,1
108,27,female,middle,nosibsp,76,39,30,female,old,nosibsp,84,13
109,27,female,middle,nosibsp,76,39,33,female,older,nosibsp,100,2
110,28,female,old,all,85,27,29,female,old,hassibsp,85,14
111,28,female,old,all,85,27,30,female,old,nosibsp,84,13
112,28,female,old,all,85,27,31,female,older,all,100,3
113,29,female,old,hassibsp,85,14,30,female,old,nosibsp,84,13
114,29,female,old,hassibsp,85,14,32,female,older,hassibsp,100,1
115,30,female,old,nosibsp,84,13,33,female,older,nosibsp,100,2
116,31,female,older,all,100,3,32,female,older,hassibsp,100,1
117,31,female,older,all,100,3,33,female,older,nosibsp,100,2
118,32,female,older,hassibsp,100,1,33,female,older,nosibsp,100,2
